# Global Ionospheric Radio Observatory (GIRO)
# GIRO Digital Ionogram Database (DIDBase)
# Tabulated Rapid Access Ionospheric Characteristics, Version 1.1
# Generated by FastChar.GetBest on 2026-08-31T08:22:50.294Z
#
# Location: GEO (  8.5 N     4.5 E ), URSI-Code IL008, ILORIN
# Query for measurement interval of time: 2010-01-01T00:00:00.000Z - 2010-12-31T23:40:00.000Z
# Requested by unknown guest from IP:102.89.82.60
# Instrument: Ionosonde, Model: [DPS-4]
#
# Data Selection:
# CS [percent] = Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2[MHz] = F2 layer critical frequency
# hmF2[km] = Peak height F2-layer
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of IL008 data provider
#
# Time                    CS   foF2 QD   hmF2 QD
2010-03-26T16:45:00.000Z 100  8.775 //  376.2 //
2010-03-26T17:00:00.000Z 100  8.806 //  372.6 //
2010-03-26T17:15:00.000Z  50  6.863 //  288.5 //
2010-03-26T17:30:00.000Z  75  8.950 //  359.1 //
2010-03-26T17:45:00.000Z 100  9.050 //  357.9 //
2010-03-26T18:00:00.000Z 100  9.050 //  362.8 //
2010-03-26T18:45:00.000Z 100  8.600 //  390.3 //
2010-03-26T19:00:00.000Z 100  8.400 //  414.0 //
2010-03-26T19:15:00.000Z  75  8.100 /_  412.8 /_
2010-03-26T19:30:00.000Z 999  8.050 /_  426.4 /_
2010-03-26T19:45:00.000Z  75  3.500 //  338.9 //
2010-03-26T20:15:00.000Z   0  6.700 //    --- __
2010-03-26T20:30:00.000Z   0  6.750 //    --- __
2010-03-26T20:45:00.000Z   0  6.300 //    --- __
2010-03-26T21:00:00.000Z  75  8.000 //  290.1 //
2010-03-26T21:15:00.000Z  50  7.850 //  307.7 //
2010-03-26T21:30:00.000Z   0  8.700 //    --- __
2010-03-26T21:45:00.000Z  50 10.700 //  298.3 //
2010-03-26T22:00:00.000Z  50  6.500 //  258.5 //
2010-03-26T22:15:00.000Z  33  6.650 //  255.4 //
2010-03-26T22:30:00.000Z  33  7.350 //  280.2 //
2010-03-26T23:00:00.000Z  50  2.850 //  244.1 //
2010-03-26T23:15:00.000Z  50  8.300 //  292.2 //
2010-03-26T23:30:00.000Z  50  6.950 //  271.2 //
2010-03-26T23:45:00.000Z   0  7.950 //    --- __
2010-03-27T00:00:00.000Z  50  8.400 //  256.6 //
2010-03-27T00:15:00.000Z  33  7.100 //  252.7 //
2010-03-27T00:30:00.000Z  33  5.800 //  255.7 //
2010-03-27T00:45:00.000Z  50  5.700 //  245.2 //
2010-03-27T01:00:00.000Z  50  6.200 //  262.3 //
2010-03-27T01:15:00.000Z  50  5.300 //  275.7 //
2010-03-27T01:30:00.000Z  33  4.750 //  257.9 //
2010-03-27T01:45:00.000Z  75  5.200 //  252.8 //
2010-03-27T02:00:00.000Z   0  5.250 //    --- __
2010-03-27T02:15:00.000Z  33  5.250 //  269.7 //
2010-03-27T02:30:00.000Z  50  4.900 //  258.6 //
2010-03-27T02:45:00.000Z  75  4.900 //  293.1 //
2010-03-27T03:00:00.000Z  50  4.550 //  301.7 //
2010-03-27T03:15:00.000Z  33  2.700 //  260.7 //
2010-03-27T03:30:00.000Z   0  3.050 //  227.7 //
2010-03-27T03:45:00.000Z  50  2.800 //  239.8 //
2010-03-27T04:00:00.000Z  75  2.800 //  296.3 //
2010-03-27T04:15:00.000Z  50  1.850 //  294.7 //
2010-03-27T04:30:00.000Z  50  2.000 //  299.4 //
2010-03-27T04:45:00.000Z  33  2.100 //  250.3 //
2010-03-27T05:00:00.000Z   0  2.000 //    --- __
2010-03-27T05:15:00.000Z  50  2.000 //  326.9 //
2010-03-27T05:30:00.000Z  50  2.600 //  290.8 //
2010-03-27T05:45:00.000Z  75  3.813 //  272.5 //
2010-03-27T06:00:00.000Z   0  4.853 /_  249.6 /_
2010-03-27T06:15:00.000Z 100  5.656 /_  250.2 /_
2010-03-27T06:30:00.000Z  75  6.250 /_  248.4 /_
2010-03-27T06:45:00.000Z 100  7.000 /_  256.0 /_
2010-03-27T07:00:00.000Z  75  7.356 //  256.5 //
2010-03-27T07:15:00.000Z  75  7.707 //  267.7 //
2010-03-27T07:30:00.000Z 100  7.963 //  279.7 //
2010-03-27T07:45:00.000Z  75  8.113 //  290.8 //
2010-03-27T08:00:00.000Z 100  8.053 //  307.5 //
2010-03-27T08:15:00.000Z 100  8.163 //  329.1 //
2010-03-27T08:30:00.000Z 100  8.212 //  348.2 //
2010-03-27T08:45:00.000Z 100  8.075 //  375.0 //
2010-03-27T09:00:00.000Z  75  7.825 //  392.3 //
2010-03-27T09:15:00.000Z 100  7.275 //  376.2 //
2010-03-27T09:30:00.000Z 100  7.100 //  377.3 //
2010-03-27T09:45:00.000Z 100  6.863 //  330.1 //
2010-03-27T10:00:00.000Z 100  6.850 //  353.8 //
2010-03-27T10:15:00.000Z 100  6.800 //  349.4 //
2010-03-27T10:30:00.000Z 100  6.906 //  354.4 //
2010-03-27T10:45:00.000Z 100  7.075 //  414.7 //
2010-03-27T11:00:00.000Z 100  7.125 //  372.2 //
2010-03-27T11:15:00.000Z 100  7.125 //  377.1 //
2010-03-27T11:30:00.000Z 100  7.275 //  346.6 //
2010-03-27T11:45:00.000Z 100  7.425 //  340.7 //
2010-03-27T12:34:11.000Z 100  7.675 //  346.3 //
2010-03-27T12:45:00.000Z 100  7.675 //  347.7 //
2010-03-27T13:00:00.000Z 100  7.688 //  350.5 //
2010-03-27T13:15:00.000Z 100  7.675 //  351.6 //
2010-03-27T13:30:00.000Z 100  7.688 //  370.0 //
2010-03-27T13:45:00.000Z 100  7.700 //  373.5 //
2010-03-27T14:00:00.000Z  75  7.775 //  369.0 //
2010-03-27T14:15:00.000Z 100  7.775 //  359.1 //
2010-03-27T14:30:00.000Z 100  7.863 //  362.8 //
2010-03-27T14:45:00.000Z 100  8.000 //  374.1 //
