Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2009-01-01T00:00:00,60,ILR,4.68,8.5,23.95,96.48,0.32,165.04,32802.1,-12.8,-4499.9,32772.3,-1399.2,-4499.9
2009-01-01T00:01:00,60,ILR,4.68,8.5,23.96,96.48,0.32,164.98,32802.3,-13,-4499.8,32772.4,-1399.5,-4499.8
2009-01-01T00:02:00,60,ILR,4.68,8.5,23.98,96.48,0.32,164.91,32802.3,-13.3,-4499.7,32772.4,-1399.7,-4499.7
2009-01-01T00:03:00,60,ILR,4.68,8.5,24,96.48,0.32,164.84,32802.3,-13.6,-4499.6,32772.4,-1400,-4499.6
2009-01-01T00:04:00,60,ILR,4.68,8.5,0.01,96.48,0.32,164.77,32802.4,-13.8,-4499.5,32772.5,-1400.3,-4499.5
2009-01-01T00:05:00,60,ILR,4.68,8.5,0.03,96.48,0.32,164.7,32802.5,-14.1,-4499.3,32772.6,-1400.6,-4499.3
2009-01-01T00:06:00,60,ILR,4.68,8.5,0.05,96.48,0.32,164.62,32802.6,-14.4,-4499.1,32772.7,-1400.8,-4499.1
2009-01-01T00:07:00,60,ILR,4.68,8.5,0.07,96.48,0.32,164.54,32802.8,-14.7,-4499,32772.9,-1401.1,-4499
2009-01-01T00:08:00,60,ILR,4.68,8.5,0.08,96.48,0.33,164.45,32803,-14.9,-4498.9,32773,-1401.4,-4498.9
2009-01-01T00:09:00,60,ILR,4.68,8.5,0.1,96.48,0.33,164.37,32803.4,-15.2,-4498.8,32773.5,-1401.6,-4498.8
2009-01-01T00:10:00,60,ILR,4.68,8.5,0.12,96.48,0.33,164.28,32803.6,-15.3,-4498.8,32773.7,-1401.8,-4498.8
2009-01-01T00:11:00,60,ILR,4.68,8.5,0.13,96.48,0.33,164.18,32803.8,-15.6,-4498.5,32773.8,-1402.1,-4498.5
2009-01-01T00:12:00,60,ILR,4.68,8.5,0.15,96.48,0.33,164.09,32803.8,-15.9,-4498.4,32773.8,-1402.4,-4498.4
2009-01-01T00:13:00,60,ILR,4.68,8.5,0.17,96.48,0.33,163.99,32803.8,-16.2,-4498.3,32773.8,-1402.7,-4498.3
2009-01-01T00:14:00,60,ILR,4.68,8.5,0.18,96.48,0.33,163.88,32803.9,-16.5,-4498.2,32773.9,-1403,-4498.2
2009-01-01T00:15:00,60,ILR,4.68,8.5,0.2,96.48,0.33,163.78,32804,-16.8,-4498,32774,-1403.3,-4498
2009-01-01T00:16:00,60,ILR,4.68,8.5,0.22,96.48,0.33,163.67,32804.3,-17.1,-4497.8,32774.2,-1403.6,-4497.8
2009-01-01T00:17:00,60,ILR,4.68,8.5,0.23,96.48,0.33,163.56,32804.3,-17.4,-4497.7,32774.2,-1403.9,-4497.7
2009-01-01T00:18:00,60,ILR,4.68,8.5,0.25,96.48,0.33,163.44,32804.3,-17.6,-4497.5,32774.2,-1404.2,-4497.5
2009-01-01T00:19:00,60,ILR,4.68,8.5,0.27,96.48,0.33,163.33,32804.4,-17.9,-4497.3,32774.3,-1404.4,-4497.3
2009-01-01T00:20:00,60,ILR,4.68,8.5,0.29,96.48,0.33,163.21,32804.7,-18.2,-4497.3,32774.7,-1404.8,-4497.3
2009-01-01T00:21:00,60,ILR,4.68,8.5,0.3,96.48,0.33,163.08,32805.4,-18.7,-4497.7,32775.3,-1405.3,-4497.7
2009-01-01T00:22:00,60,ILR,4.68,8.5,0.32,96.48,0.33,162.96,32805,-18.7,-4497.2,32774.9,-1405.2,-4497.2
