Selected parameters:
 1 BZ, nT (GSE)
 2 BZ, nT (GSM)
 3 Dst-index, nT

YEAR DOY HR    1     2     3 
2009   1  0   0.8   1.2    -7
2009   1  1  -0.1   0.1    -5
2009   1  2  -1.1  -0.8    -4
2009   1  3  -0.7  -0.5    -5
2009   1  4   0.2   0.0    -7
2009   1  5  -2.3  -2.3    -7
2009   1  6  -1.9  -1.9    -9
2009   1  7  -1.5  -1.5   -12
2009   1  8   0.9   0.9   -11
2009   1  9  -0.4  -0.2    -8
2009   1 10  -2.3  -2.5    -9
2009   1 11  -2.2  -2.5   -10
2009   1 12  -2.6  -2.8   -14
2009   1 13   0.6   0.4   -17
2009   1 14  -0.6  -0.7   -15
2009   1 15  -0.9  -0.8   -13
2009   1 16  -0.9  -0.9   -15
2009   1 17  -0.6  -0.5   -17
2009   1 18  -0.4  -0.1   -17
2009   1 19  -0.1   0.2   -16
2009   1 20  -1.5  -1.2   -14
2009   1 21  -1.3  -1.4   -12
2009   1 22   0.3  -0.2    -7
2009   1 23   1.3   0.6    -4
